,primary_key,location_code,location,plastics_polymer,plastics_applications,total_waste,total_use
94,"O22LDPE, LLDPEBuilding & construction",O22,OECD EU ,"LDPE, LLDPE",Building & construction,0.244520914,0.67232
95,O22HDPEBuilding & construction,O22,OECD EU ,HDPE,Building & construction,0.742301602,2.149598
96,O22PPBuilding & construction,O22,OECD EU ,PP,Building & construction,0.396151153,1.061798
97,O22PSBuilding & construction,O22,OECD EU ,PS,Building & construction,0.482736774,1.154116
98,O22PVCBuilding & construction,O22,OECD EU ,PVC,Building & construction,2.678509485,6.928445
99,O22PURBuilding & construction,O22,OECD EU ,PUR,Building & construction,0.408782269,0.966411
100,O22BioplasticsBuilding & construction,O22,OECD EU ,Bioplastics,Building & construction,0.007505958,0.017529
101,"O22ABS, ASA, SANBuilding & construction",O22,OECD EU ,"ABS, ASA, SAN",Building & construction,0.02192114,0.051745
102,O22OtherElectrical/electronics,O22,OECD EU ,Other,Electrical/electronics,0.63452086,0.764015
103,"O22LDPE, LLDPEElectrical/electronics",O22,OECD EU ,"LDPE, LLDPE",Electrical/electronics,0.170599139,0.205396
104,O22HDPEElectrical/electronics,O22,OECD EU ,HDPE,Electrical/electronics,0.052207325,0.063463
105,O22PPElectrical/electronics,O22,OECD EU ,PP,Electrical/electronics,0.399523756,0.482766
106,O22PSElectrical/electronics,O22,OECD EU ,PS,Electrical/electronics,0.189687625,0.228627
107,O22PVCElectrical/electronics,O22,OECD EU ,PVC,Electrical/electronics,0.165331375,0.198718
108,O22PURElectrical/electronics,O22,OECD EU ,PUR,Electrical/electronics,0.100596089,0.121109
109,O22BioplasticsElectrical/electronics,O22,OECD EU ,Bioplastics,Electrical/electronics,0.005346091,0.006382
110,"O22ABS, ASA, SANElectrical/electronics",O22,OECD EU ,"ABS, ASA, SAN",Electrical/electronics,0.281662674,0.339098
111,O22OtherTransportation - other,O22,OECD EU ,Other,Transportation - other,2.360033387,2.823018
112,"O22LDPE, LLDPETransportation - other",O22,OECD EU ,"LDPE, LLDPE",Transportation - other,0.042533252,0.05111
113,O22HDPETransportation - other,O22,OECD EU ,HDPE,Transportation - other,0.192968913,0.233059
114,O22PPTransportation - other,O22,OECD EU ,PP,Transportation - other,0.881958465,1.052295
115,O22PVCTransportation - other,O22,OECD EU ,PVC,Transportation - other,0.121898108,0.144739
116,O22PURTransportation - other,O22,OECD EU ,PUR,Transportation - other,0.284239561,0.339823
117,O22FibresTransportation - other,O22,OECD EU ,Fibres,Transportation - other,0.505264093,0.60407
118,O22BioplasticsTransportation - other,O22,OECD EU ,Bioplastics,Transportation - other,0.013905856,0.016493
119,"O22ABS, ASA, SANTransportation - other",O22,OECD EU ,"ABS, ASA, SAN",Transportation - other,0.124109592,0.14838
120,O22Marine coatingsMarine coatings,O22,OECD EU ,Marine coatings,Marine coatings,0.057445287,0.06594
121,"O22LDPE, LLDPEIndustrial/machinery",O22,OECD EU ,"LDPE, LLDPE",Industrial/machinery,0.078626571,0.136262
122,O22HDPEIndustrial/machinery,O22,OECD EU ,HDPE,Industrial/machinery,0.074320896,0.135468
123,O22PPIndustrial/machinery,O22,OECD EU ,PP,Industrial/machinery,0.107189908,0.180885
124,O22PURIndustrial/machinery,O22,OECD EU ,PUR,Industrial/machinery,0.097749057,0.142585
125,O22HDPEPersonal care products,O22,OECD EU ,HDPE,Personal care products,0.002668091,0.002681
126,O22PPPersonal care products,O22,OECD EU ,PP,Personal care products,6.8862e-05,6.9e-05
127,O22FibresTextile sector - clothing,O22,OECD EU ,Fibres,Textile sector - clothing,1.969671751,2.161495
128,O22BioplasticsTextile sector - clothing,O22,OECD EU ,Bioplastics,Textile sector - clothing,0.016355867,0.017503
129,O22FibresTextile sector - others,O22,OECD EU ,Fibres,Textile sector - others,1.783645377,1.949584
130,O22Road marking coatingsRoad marking,O22,OECD EU ,Road marking coatings,Road marking,0.079081437,0.089058
131,O22Elastomers (tyres)Transportation - tyres,O22,OECD EU ,Elastomers (tyres),Transportation - tyres,0.587652087,0.69253
132,OE6OtherOther,OE6,OECD Non-EU,Other,Other,1.337608482,1.531933
133,"OE6LDPE, LLDPEOther",OE6,OECD Non-EU,"LDPE, LLDPE",Other,0.214076478,0.247996
134,OE6HDPEOther,OE6,OECD Non-EU,HDPE,Other,0.156991162,0.18505
135,OE6PSOther,OE6,OECD Non-EU,PS,Other,0.080126604,0.094535
136,OE6PVCOther,OE6,OECD Non-EU,PVC,Other,0.265674072,0.314695
137,OE6PUROther,OE6,OECD Non-EU,PUR,Other,0.22478728,0.252819
138,OE6FibresOther,OE6,OECD Non-EU,Fibres,Other,0.454532731,0.518982
139,OE6BioplasticsOther,OE6,OECD Non-EU,Bioplastics,Other,0.010904277,0.012449
140,"OE6ABS, ASA, SANOther",OE6,OECD Non-EU,"ABS, ASA, SAN",Other,0.031013424,0.035247
141,OE6OtherPackaging,OE6,OECD Non-EU,Other,Packaging,0.07407616,0.074749
142,"OE6LDPE, LLDPEPackaging",OE6,OECD Non-EU,"LDPE, LLDPE",Packaging,1.631714931,1.632947
143,OE6HDPEPackaging,OE6,OECD Non-EU,HDPE,Packaging,1.513160772,1.513787
144,OE6PPPackaging,OE6,OECD Non-EU,PP,Packaging,1.61662463,1.617472
145,OE6PSPackaging,OE6,OECD Non-EU,PS,Packaging,0.288090405,0.293115
146,OE6PVCPackaging,OE6,OECD Non-EU,PVC,Packaging,0.175134277,0.178391
147,OE6PETPackaging,OE6,OECD Non-EU,PET,Packaging,1.161876608,1.162306
148,OE6PURPackaging,OE6,OECD Non-EU,PUR,Packaging,0.016382597,0.016533
149,OE6BioplasticsPackaging,OE6,OECD Non-EU,Bioplastics,Packaging,0.062969775,0.063163
150,OE6OtherConsumer & institutional Products,OE6,OECD Non-EU,Other,Consumer & institutional Products,0.170428614,0.185308
151,"OE6LDPE, LLDPEConsumer & institutional Products",OE6,OECD Non-EU,"LDPE, LLDPE",Consumer & institutional Products,0.32953957,0.355619
152,OE6HDPEConsumer & institutional Products,OE6,OECD Non-EU,HDPE,Consumer & institutional Products,0.228865989,0.247868
153,OE6PPConsumer & institutional Products,OE6,OECD Non-EU,PP,Consumer & institutional Products,0.664395922,0.716417
154,OE6PSConsumer & institutional Products,OE6,OECD Non-EU,PS,Consumer & institutional Products,0.212438939,0.232899
155,OE6PVCConsumer & institutional Products,OE6,OECD Non-EU,PVC,Consumer & institutional Products,0.100921449,0.110761
156,OE6PURConsumer & institutional Products,OE6,OECD Non-EU,PUR,Consumer & institutional Products,0.090740794,0.098661
157,OE6BioplasticsConsumer & institutional Products,OE6,OECD Non-EU,Bioplastics,Consumer & institutional Products,0.007006851,0.007573
158,"OE6ABS, ASA, SANConsumer & institutional Products",OE6,OECD Non-EU,"ABS, ASA, SAN",Consumer & institutional Products,0.172318352,0.187352
159,OE6OtherBuilding & construction,OE6,OECD Non-EU,Other,Building & construction,0.186152483,0.622056
160,"OE6LDPE, LLDPEBuilding & construction",OE6,OECD Non-EU,"LDPE, LLDPE",Building & construction,0.059395224,0.213215
161,OE6HDPEBuilding & construction,OE6,OECD Non-EU,HDPE,Building & construction,0.179622469,0.667904
162,OE6PPBuilding & construction,OE6,OECD Non-EU,PP,Building & construction,0.096435142,0.341085
163,OE6PSBuilding & construction,OE6,OECD Non-EU,PS,Building & construction,0.116840942,0.393619
164,OE6PVCBuilding & construction,OE6,OECD Non-EU,PVC,Building & construction,0.640295221,2.26173
165,OE6PURBuilding & construction,OE6,OECD Non-EU,PUR,Building & construction,0.099778686,0.331499
166,OE6BioplasticsBuilding & construction,OE6,OECD Non-EU,Bioplastics,Building & construction,0.001823989,0.006018
167,"OE6ABS, ASA, SANBuilding & construction",OE6,OECD Non-EU,"ABS, ASA, SAN",Building & construction,0.005351243,0.017764
168,OE6OtherElectrical/electronics,OE6,OECD Non-EU,Other,Electrical/electronics,0.2042696,0.265309
169,"OE6LDPE, LLDPEElectrical/electronics",OE6,OECD Non-EU,"LDPE, LLDPE",Electrical/electronics,0.055235288,0.071156
170,OE6HDPEElectrical/electronics,OE6,OECD Non-EU,HDPE,Electrical/electronics,0.016757818,0.02169
171,OE6PPElectrical/electronics,OE6,OECD Non-EU,PP,Electrical/electronics,0.128918258,0.166372
172,OE6PSElectrical/electronics,OE6,OECD Non-EU,PS,Electrical/electronics,0.060571577,0.079392
173,OE6PVCElectrical/electronics,OE6,OECD Non-EU,PVC,Electrical/electronics,0.052110583,0.068539
