"LOCATION","Location","PLASTIC_CATEGORY","Plastic category","PLASTIC_SOURCES","Plastic sources","Value","Flag Codes","Flags"
"EU5","Other EU","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000052608,,
"EU5","Other EU","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.000086433,,
"EU5","Other EU","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.005445146,,
"EU5","Other EU","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.000352159,,
"EU5","Other EU","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.001700218,,
"EU5","Other EU","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.000439793,,
"EU5","Other EU","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.000475381,,
"EU5","Other EU","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.003452393,,
"EU5","Other EU","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.003258523,,
"RAN","Other Eurasia","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",1.395696618,,
"RAN","Other Eurasia","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.005584711,,
"RAN","Other Eurasia","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.048614253,,
"RAN","Other Eurasia","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",1.341497655,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.112428089,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.015630359,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000163137,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.000287619,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.029963604,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.001882813,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.013658577,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.003193902,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.000888309,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.034741789,,
"RAN","Other Eurasia","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.012017981,,
"MEN","Middle East & North Africa","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",1.405233408,,
"MEN","Middle East & North Africa","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.006854319,,
"MEN","Middle East & North Africa","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.057504054,,
"MEN","Middle East & North Africa","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",1.340875035,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.181744348,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.015828452,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000000102,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.00030407,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.059212847,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.003646487,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.015594967,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.003666943,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.009011366,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.050259433,,
"MEN","Middle East & North Africa","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.02421968,,
"OAF","Other Africa","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",3.276895777,,
"OAF","Other Africa","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.017611657,,
"OAF","Other Africa","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.084050645,,
"OAF","Other Africa","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",3.175233475,,
"OAF","Other Africa","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.188301501,,
"OAF","Other Africa","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.016918169,,
"OAF","Other Africa","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000223633,,
"OAF","Other Africa","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.000035133,,
"OAF","Other Africa","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.028098622,,
"OAF","Other Africa","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.001777045,,
"OAF","Other Africa","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.017478312,,
"OAF","Other Africa","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.003572025,,
