"LOCATION","Location","PLASTICS_APPLICATIONS","Plastics applications","PLASTICS_POLYMER","Plastics polymer","Value","Flag Codes","Flags"
"OAF","Other Africa","TOTAL","Total","HDPE","HDPE",2.3098,,
"OAF","Other Africa","TOTAL","Total","PP","PP",3.426814,,
"OAF","Other Africa","TOTAL","Total","PS","PS",0.852463,,
"OAF","Other Africa","TOTAL","Total","PVC","PVC",1.00348,,
"OAF","Other Africa","TOTAL","Total","PET","PET",1.330124,,
"OAF","Other Africa","TOTAL","Total","PUR","PUR",0.576459,,
"OAF","Other Africa","TOTAL","Total","FIBERS","Fibres",1.963747,,
"OAF","Other Africa","TOTAL","Total","ROAD_MARKING_COATINGS","Road marking coatings",0.03899,,
"OAF","Other Africa","TOTAL","Total","BIOPLASTICS","Bioplastics",0.112404,,
"OAF","Other Africa","TOTAL","Total","ABS_ASA_SAN","ABS, ASA, SAN",0.398382,,
"OAF","Other Africa","TOTAL","Total","TOTAL","Total",17.851548,,
"ODA","Other non-OECD Asia","OTHER","Other","OTHER","Other",2.017877,,
"ODA","Other non-OECD Asia","OTHER","Other","LDPE_LLDPE","LDPE, LLDPE",0.32434,,
"ODA","Other non-OECD Asia","OTHER","Other","HDPE","HDPE",0.258865,,
"ODA","Other non-OECD Asia","OTHER","Other","PS","PS",0.123218,,
"ODA","Other non-OECD Asia","OTHER","Other","PVC","PVC",0.414585,,
"ODA","Other non-OECD Asia","OTHER","Other","PUR","PUR",0.333227,,
"ODA","Other non-OECD Asia","OTHER","Other","FIBERS","Fibres",0.70345,,
"ODA","Other non-OECD Asia","OTHER","Other","BIOPLASTICS","Bioplastics",0.016351,,
"ODA","Other non-OECD Asia","OTHER","Other","ABS_ASA_SAN","ABS, ASA, SAN",0.046989,,
"ODA","Other non-OECD Asia","OTHER","Other","TOTAL","Total",4.238901,,
"ODA","Other non-OECD Asia","PACKAGING","Packaging","OTHER","Other",0.103574,,
"ODA","Other non-OECD Asia","PACKAGING","Packaging","LDPE_LLDPE","LDPE, LLDPE",2.265201,,
"ODA","Other non-OECD Asia","PACKAGING","Packaging","HDPE","HDPE",2.058593,,
"ODA","Other non-OECD Asia","PACKAGING","Packaging","PP","PP",2.457221,,
"ODA","Other non-OECD Asia","PACKAGING","Packaging","PS","PS",0.399285,,
"ODA","Other non-OECD Asia","PACKAGING","Packaging","PVC","PVC",0.24306,,
"ODA","Other non-OECD Asia","PACKAGING","Packaging","PET","PET",1.579226,,
"ODA","Other non-OECD Asia","PACKAGING","Packaging","PUR","PUR",0.022526,,
"ODA","Other non-OECD Asia","PACKAGING","Packaging","BIOPLASTICS","Bioplastics",0.08606,,
"ODA","Other non-OECD Asia","PACKAGING","Packaging","TOTAL","Total",9.214745,,
"ODA","Other non-OECD Asia","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","OTHER","Other",0.239152,,
"ODA","Other non-OECD Asia","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","LDPE_LLDPE","LDPE, LLDPE",0.45734,,
"ODA","Other non-OECD Asia","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","HDPE","HDPE",0.31785,,
"ODA","Other non-OECD Asia","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PP","PP",1.008524,,
"ODA","Other non-OECD Asia","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PS","PS",0.30057,,
"ODA","Other non-OECD Asia","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PVC","PVC",0.142987,,
"ODA","Other non-OECD Asia","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PUR","PUR",0.12741,,
"ODA","Other non-OECD Asia","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","BIOPLASTICS","Bioplastics",0.009776,,
"ODA","Other non-OECD Asia","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","ABS_ASA_SAN","ABS, ASA, SAN",0.241864,,
"ODA","Other non-OECD Asia","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","TOTAL","Total",2.845473,,
"ODA","Other non-OECD Asia","BUILDING_AND_CONSTRUCTION","Building & construction","OTHER","Other",0.719166,,
"ODA","Other non-OECD Asia","BUILDING_AND_CONSTRUCTION","Building & construction","LDPE_LLDPE","LDPE, LLDPE",0.229093,,
"ODA","Other non-OECD Asia","BUILDING_AND_CONSTRUCTION","Building & construction","HDPE","HDPE",0.696195,,
"ODA","Other non-OECD Asia","BUILDING_AND_CONSTRUCTION","Building & construction","PP","PP",0.372525,,
"ODA","Other non-OECD Asia","BUILDING_AND_CONSTRUCTION","Building & construction","PS","PS",0.454969,,
"ODA","Other non-OECD Asia","BUILDING_AND_CONSTRUCTION","Building & construction","PVC","PVC",2.508056,,
"ODA","Other non-OECD Asia","BUILDING_AND_CONSTRUCTION","Building & construction","PUR","PUR",0.385299,,
"ODA","Other non-OECD Asia","BUILDING_AND_CONSTRUCTION","Building & construction","BIOPLASTICS","Bioplastics",0.006999,,
"ODA","Other non-OECD Asia","BUILDING_AND_CONSTRUCTION","Building & construction","ABS_ASA_SAN","ABS, ASA, SAN",0.020661,,
"ODA","Other non-OECD Asia","BUILDING_AND_CONSTRUCTION","Building & construction","TOTAL","Total",5.392963,,
